PSRJ,RAJD,RAJD_ERR,DECJD,DECJD_ERR,DM,P0,W50,astrometry_err,racsmatch
J1406-5806,211.505,0.0008333333333333,-58.10888888888889,0.0002777777777777,229.0,0.28834924425,49.0,0.0008784104611578269,RACS_1345-56A_1994
J1406-6121,211.7085,0.00025,-61.35775,0.0001666666666666,537.29,0.2130746537761659,13.0,0.0003004626062886288,
J1407-6048,211.9943333333333,0.0005416666666666,-60.81633333333333,0.0003333333333333,575.2,0.4923442066385662,22.0,0.0006360140634363319,
J1407-6153,211.98541666666665,0.0020833333333333,-61.89972222222222,0.0016666666666666,645.0,0.7016149492255294,57.0,0.002667968432263619,
J1409-6953,212.32041666666663,0.0004166666666666,-69.89288888888889,0.0001388888888888,167.63,0.5285907792,23.0,0.00043920523057885025,
J1410-6132,212.59829583333328,1.25e-05,-61.53559722222222,1.1111111111111112e-05,961.0,0.0500519462,17.0,1.67244369149893e-05,
J1410-7404,212.5307083333333,2.0833333333333333e-05,-74.08147777777778,5.555555555555556e-06,54.24,0.2787294436271,1.4,2.156135374480559e-05,
J1411+2551,212.8286083333333,1.25e-05,25.85233055555556,1.9444444444444445e-05,12.3737,0.06245289551759,2.45,2.3115718023740608e-05,
J1412+7922,213.23277916666663,0.0001583333333333,79.36774861111111,2.111111111111111e-05,,0.05819907107,,0.00015973454058775007,
J1412-6111,213.24841666666663,0.0005416666666666,-61.191805555555554,0.0001944444444444,311.8,0.5291563979733827,11.0,0.0005755097043082739,
J1412-6145,213.03179166666663,0.0004166666666666,-61.75791111111111,2.2222222222222223e-05,512.48,0.3152584333739297,12.0,0.0004172588384582757,
J1413-6141,213.291125,0.0003749999999999,-61.68694444444444,0.0002777777777777,667.6,0.28562462018,13.0,0.0004666749337890801,
J1413-6205,213.3745833333333,0.0004166666666666,-62.09388888888889,0.0002777777777777,,0.1097406996881594,,0.000500771010481011,
J1413-6222,213.27279166666665,0.0003333333333333,-62.37438888888889,0.0003055555555555,808.1,0.2924077024925139,23.0,0.0004521894610027075,RACS_1404-62A_3409
J1413-6307,213.3804833333333,3.333333333333333e-05,-63.12651388888889,1.9444444444444445e-05,121.98,0.394945790784,3.5,3.859012219291612e-05,RACS_1404-62A_3389
J1414-6802,213.6070833333333,0.0004166666666666,-68.04944444444445,0.0002777777777777,153.5,4.6301880619,118.0,0.000500771010481011,RACS_1430-68A_7023
J1415-6621,213.88029166666664,0.000125,-66.35338888888889,8.333333333333333e-05,260.17,0.3924789731011099,6.9,0.0001502313031443329,
J1416-5033,214.1858333333333,0.0008333333333333,-50.55472222222222,0.0008333333333333,58.5,0.794882546,13.9,0.001178511301977532,
J1416-6037,214.1274583333333,0.0006666666666666,-60.63319444444444,0.00025,289.2,0.2955804819317547,13.0,0.0007120003121097318,
J1417-4402,214.3775,0.0003749999999999,-44.049277777777775,0.00025,55.0,0.002664216,,0.0004506939094329155,
J1418-3921,214.7095125,2.0833333333333333e-05,-39.35514166666667,2.777777777777778e-05,60.49,1.0968060034,20.4,3.472222222222222e-05,RACS_1417-37A_3092
J1418-5945,214.63458333333327,0.0016666666666666,-59.75,0.0008333333333333,369.0,1.6725956812,64.0,0.0018633899812497503,
J1418-6058,214.67791666666665,0.0004166666666666,-60.96361111111111,0.0005555555555555,,0.1105730116900663,,0.00069444444444436,
J1420-5416,215.12129166666665,4.1666666666666665e-05,-54.27297222222222,2.777777777777778e-05,129.6,0.935772204694025,21.0,5.007710104811096e-05,RACS_1428-56A_5188
J1420-5625,215.01275833333327,1.25e-05,-56.43194444444444,8.333333333333334e-06,64.485,0.0341171308478625,1.3,1.502313031443329e-05,
J1420-6048,215.0343208333333,6.666666666666666e-05,-60.804563888888886,4.1666666666666665e-05,360.15,0.06817987659,8.5,7.861650943380502e-05,
J1421-4409,215.33734945833328,2.0833333333333333e-07,-44.15126472222222,2.7777777777777776e-07,54.6403,0.0063857288383424,0.22,3.4722222222222224e-07,RACS_1430-43A_4402
J1422-6138,215.61790416666665,1.25e-05,-61.6412,1.1111111111111112e-05,,0.34096785164255,,1.67244369149893e-05,
J1423-6953,215.861625,8.333333333333333e-05,-69.89522777777779,2.2222222222222223e-05,123.98,0.333410710172,1.6,8.624541497922236e-05,
J1424-5556,216.05316666666664,0.000125,-55.93719444444445,8.333333333333333e-05,198.7,0.7703748458743364,22.0,0.0001502313031443329,
J1424-5822,216.133875,3.333333333333333e-05,-58.38213888888889,2.777777777777778e-05,323.9,0.3667361880903664,10.0,4.339027597725919e-05,RACS_1428-56A_4677
J1424-6438,216.24666666666664,0.0008333333333333,-64.63611111111112,0.00025,248.0,1.02350369913,70.0,0.0008700255424091806,
J1425-5723,216.4023333333333,0.000125,-57.391888888888886,0.0001111111111111,43.4,0.35326292024,6.6,0.0001672443691498856,
J1425-5759,216.49629166666665,0.0002916666666666,-57.98616666666667,0.00025,325.0,0.70786760576,7.6,0.00038414768572048635,
J1425-6210,216.28208333333328,0.0012499999999999,-62.16802777777777,0.0002777777777777,430.1,0.50173030986895,8.3,0.0012804922857350088,
J1427-4158,216.96154166666665,3.749999999999999e-05,-41.98230555555556,8.333333333333333e-05,65.4,0.586485556229,16.0,9.138213416442211e-05,
